"Mod name","Registry name","Item ID","Display name"
"AE2WTLib","ae2wtlib:magnet_card",12384,"Magnet Card"
"AE2WTLib","ae2wtlib:quantum_bridge_card",12383,"Quantum Bridge Card"
"AE2WTLib","ae2wtlib:wireless_pattern_access_terminal",12382,"Wireless Pattern Access Terminal"
"AE2WTLib","ae2wtlib:wireless_pattern_encoding_terminal",12385,"Wireless Pattern Encoding Terminal"
"AE2WTLib","ae2wtlib:wireless_universal_terminal",12386,"Wireless Universal Terminal"
"Abyssal Decor","abyssal_decor:abyssal_lantern_off",12679,"Abyssal Lantern"
"Abyssal Decor","abyssal_decor:abyssal_lantern_on",12878,"Abyssal Lantern On"
"Abyssal Decor","abyssal_decor:amaranth_1",12398,"Amaranth Seeds"
"Abyssal Decor","abyssal_decor:amaranth_2",12925,"Amaranth"
"Abyssal Decor","abyssal_decor:amaranth_3",12926,"Amaranth"
"Abyssal Decor","abyssal_decor:amaranth_4_bottom",12945,"Amaranth"
"Abyssal Decor","abyssal_decor:amaranth_4_top",12946,"Amaranth"
"Abyssal Decor","abyssal_decor:amaranth_crate",12400,"Crate of Amaranth"
"Abyssal Decor","abyssal_decor:amaranth_pinnacle",12399,"Amaranth Pinnacle"
"Abyssal Decor","abyssal_decor:ammonite",12594,"Ammonite"
"Abyssal Decor","abyssal_decor:ancient_birch_log",12410,"Ancient Birch Log"
"Abyssal Decor","abyssal_decor:aster",12396,"Aster"
"Abyssal Decor","abyssal_decor:bark_orchid",12404,"Bark Orchid"
"Abyssal Decor","abyssal_decor:black_mold",12682,"Black Mold"
"Abyssal Decor","abyssal_decor:black_mold_carpet",12683,"Black Mold Carpet"
"Abyssal Decor","abyssal_decor:black_pearl",12729,"Black Pearl"
"Abyssal Decor","abyssal_decor:black_pearl_bars_bottom",12972,"Black Pearl Bars Bottom"
"Abyssal Decor","abyssal_decor:black_pearl_bars_mid",12971,"Black Pearl Bars Mid"
"Abyssal Decor","abyssal_decor:black_pearl_bars_solo",12745,"Black Pearl Bars"
"Abyssal Decor","abyssal_decor:black_pearl_bars_upper",12970,"Black Pearl Bars Top"
"Abyssal Decor","abyssal_decor:black_pearl_brick_slab",12742,"Black Pearl Brick Slab"
"Abyssal Decor","abyssal_decor:black_pearl_brick_stairs",12743,"Black Pearl Brick Stairs"
"Abyssal Decor","abyssal_decor:black_pearl_brick_wall",12744,"Black Pearl Brick Wall"
"Abyssal Decor","abyssal_decor:black_pearl_bricks",12741,"Black Pearl Bricks"
"Abyssal Decor","abyssal_decor:black_pearl_pillar",12733,"Black Pearl Pillar"
"Abyssal Decor","abyssal_decor:black_pearl_slab",12735,"Black Pearl Slab"
"Abyssal Decor","abyssal_decor:black_pearl_stairs",12734,"Black Pearl Stairs"
"Abyssal Decor","abyssal_decor:black_pearl_wall",12736,"Black Pearl Wall"
"Abyssal Decor","abyssal_decor:black_wallpaper",12649,"Black Wallpaper"
"Abyssal Decor","abyssal_decor:blackened_sand",12687,"Blackened Sand"
"Abyssal Decor","abyssal_decor:blackwood_button",12713,"Blackwood Button"
"Abyssal Decor","abyssal_decor:blackwood_door",12714,"Blackwood Door"
"Abyssal Decor","abyssal_decor:blackwood_fence",12716,"Blackwood Fence"
"Abyssal Decor","abyssal_decor:blackwood_fence_gate",12717,"Blackwood Fence Gate"
"Abyssal Decor","abyssal_decor:blackwood_log",12706,"Blackwood Log"
"Abyssal Decor","abyssal_decor:blackwood_planks",12709,"Blackwood Planks"
"Abyssal Decor","abyssal_decor:blackwood_pressure_plate",12718,"Blackwood Pressure Plate"
"Abyssal Decor","abyssal_decor:blackwood_shingles",12712,"Blackwood Shingles"
"Abyssal Decor","abyssal_decor:blackwood_slab",12711,"Blackwood Slab"
"Abyssal Decor","abyssal_decor:blackwood_stairs",12710,"Blackwood Stairs"
"Abyssal Decor","abyssal_decor:blackwood_trapdoor",12715,"Blackwood Trapdoor"
"Abyssal Decor","abyssal_decor:blackwood_trim",12708,"Blackwood Trim"
"Abyssal Decor","abyssal_decor:blackwood_wood",12705,"Blackwood Wood"
"Abyssal Decor","abyssal_decor:blaze_lamp_on",12427,"Blaze Lamp"
"Abyssal Decor","abyssal_decor:block_of_black_pearl",12730,"Block of Black Pearl"
"Abyssal Decor","abyssal_decor:block_of_pearl",12470,"Block of Pearl"
"Abyssal Decor","abyssal_decor:block_of_prismarine_crystal",12443,"Block Of Prismarine Crystal"
"Abyssal Decor","abyssal_decor:blood_coral_bars_bottom",12915,"Blood Coral Bars Bottom"
"Abyssal Decor","abyssal_decor:blood_coral_bars_mid",12914,"Pearly Bars Mid"
"Abyssal Decor","abyssal_decor:blood_coral_bars_solo",12552,"Blood Coral Bars"
"Abyssal Decor","abyssal_decor:blood_coral_bars_upper",12913,"Blood Coral Bars Top"
"Abyssal Decor","abyssal_decor:blood_coral_brick_slab",12559,"Blood Coral Brick Slab"
"Abyssal Decor","abyssal_decor:blood_coral_brick_stairs",12560,"Blood Coral Brick Stairs"
"Abyssal Decor","abyssal_decor:blood_coral_brick_wall",12561,"Blood Coral Brick Wall"
"Abyssal Decor","abyssal_decor:blood_coral_bricks",12544,"Blood Coral Bricks"
"Abyssal Decor","abyssal_decor:blood_coral_bud",12541,"Blood Coral Bud"
"Abyssal Decor","abyssal_decor:blood_coral_door",12550,"Blood Coral Door"
"Abyssal Decor","abyssal_decor:blood_coral_pillar",12546,"Blood Coral Pillar"
"Abyssal Decor","abyssal_decor:blood_coral_sconce",12549,"Blood Coral Sconce"
"Abyssal Decor","abyssal_decor:blood_coral_trapdoor",12551,"Blood Coral Trapdoor"
"Abyssal Decor","abyssal_decor:blood_lamp_lit_bottom",12901,"Blood Lantern"
"Abyssal Decor","abyssal_decor:blood_lamp_lit_mid",12900,"Blood Lantern"
"Abyssal Decor","abyssal_decor:blood_lamp_lit_top",12899,"Blood Lantern"
"Abyssal Decor","abyssal_decor:blood_lamp_off_bottom",12904,"Blood Lantern"
"Abyssal Decor","abyssal_decor:blood_lamp_off_mid",12903,"Blood Lantern"
"Abyssal Decor","abyssal_decor:blood_lamp_off_top",12902,"Blood Lantern"
"Abyssal Decor","abyssal_decor:blood_lantern",12548,"Blood Lantern"
"Abyssal Decor","abyssal_decor:blood_lantern_on",12898,"Blood Lantern"
"Abyssal Decor","abyssal_decor:bog_apple",12788,"Bog Apple"
